State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Alabama,1,"Bladder, unspecified - Malignant neoplasms",C67.9,241,4874747,4.9
Alabama,1,"Brain, unspecified - Malignant neoplasms",C71.9,228,4874747,4.7
Alabama,1,Malignant neoplasm of thyroid gland,C73,20,4874747,0.4
Alabama,1,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,11,4874747,Unreliable
Alabama,1,"Head, face and neck - Malignant neoplasms",C76.0,24,4874747,0.5
Alabama,1,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,12,4874747,Unreliable
Alabama,1,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,11,4874747,Unreliable
Alabama,1,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,17,4874747,Unreliable
Alabama,1,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,15,4874747,Unreliable
Alabama,1,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,18,4874747,Unreliable
Alabama,1,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,54,4874747,1.1
Alabama,1,Malignant neoplasm without specification of site,C80,532,4874747,10.9
Alabama,1,"Hodgkin disease, unspecified",C81.9,15,4874747,Unreliable
Alabama,1,Non-Hodgkin lymphoma large cell (diffuse),C83.3,47,4874747,1
Alabama,1,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,14,4874747,Unreliable
Alabama,1,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,37,4874747,0.8
Alabama,1,"Non-Hodgkin lymphoma, unspecified type",C85.9,183,4874747,3.8
Alabama,1,Multiple myeloma - Malignant neoplasms,C90.0,208,4874747,4.3
Alabama,1,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,27,4874747,0.6
Alabama,1,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,52,4874747,1.1
Alabama,1,"Lymphoid leukaemia, unspecified - Malignant neoplasms",C91.9,13,4874747,Unreliable
Alabama,1,Acute myeloid leukaemia - Malignant neoplasms,C92.0,123,4874747,2.5
Alabama,1,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,16,4874747,Unreliable
Alabama,1,Other myeloid leukaemia - Malignant neoplasms,C92.7,10,4874747,Unreliable
Alabama,1,"Myeloid leukaemia, unspecified - Malignant neoplasms",C92.9,12,4874747,Unreliable
Alabama,1,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,21,4874747,0.4
Alabama,1,"Leukaemia, unspecified - Malignant neoplasms",C95.9,58,4874747,1.2
Alabama,1,Malignant neoplasms of independent (primary) multiple sites,C97,84,4874747,1.7
Alabama,1,"Brain, unspecified - Uncertain neoplasms",D43.2,17,4874747,Unreliable
Alabama,1,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,102,4874747,2.1
Alabama,1,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,13,4874747,Unreliable
Alabama,1,Sickle-cell anaemia without crisis,D57.1,12,4874747,Unreliable
Alabama,1,"Aplastic anaemia, unspecified",D61.9,20,4874747,0.4
Alabama,1,"Anaemia, unspecified",D64.9,33,4874747,0.7
Alabama,1,"Coagulation defect, unspecified",D68.9,20,4874747,0.4
Alabama,1,"Sarcoidosis, unspecified",D86.9,21,4874747,0.4
Alabama,1,"Hypothyroidism, unspecified",E03.9,30,4874747,0.6
Alabama,1,"Insulin-dependent diabetes mellitus, without complications",E10.9,23,4874747,0.5
Alabama,1,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,103,4874747,2.1
Alabama,1,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,19,4874747,Unreliable
Alabama,1,"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,25,4874747,0.5
Alabama,1,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,162,4874747,3.3
Alabama,1,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,65,4874747,1.3
Alabama,1,"Unspecified diabetes mellitus, with renal complications",E14.2,175,4874747,3.6
Alabama,1,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,26,4874747,0.5
Alabama,1,"Unspecified diabetes mellitus, with multiple complications",E14.7,29,4874747,0.6
Alabama,1,"Unspecified diabetes mellitus, without complications",E14.9,506,4874747,10.4
Alabama,1,"Hypoglycaemia, unspecified",E16.2,23,4874747,0.5
Alabama,1,Unspecified severe protein-energy malnutrition,E43,96,4874747,2
Alabama,1,Unspecified protein-energy malnutrition,E46,147,4874747,3
Alabama,1,Extreme obesity with alveolar hypoventilation,E66.2,15,4874747,Unreliable
Alabama,1,Other obesity,E66.8,68,4874747,1.4
Alabama,1,"Obesity, unspecified",E66.9,34,4874747,0.7
Alabama,1,Pure hypercholesterolaemia,E78.0,20,4874747,0.4
Alabama,1,"Hyperlipidaemia, unspecified",E78.5,94,4874747,1.9
Alabama,1,Volume depletion,E86,21,4874747,0.4
Alabama,1,Hyperosmolality and hypernatraemia,E87.0,25,4874747,0.5
Alabama,1,Hypo-osmolality and hyponatraemia,E87.1,15,4874747,Unreliable
Alabama,1,Acidosis,E87.2,46,4874747,0.9
Alabama,1,Hyperkalaemia,E87.5,17,4874747,Unreliable
Alabama,1,"Metabolic disorder, unspecified",E88.9,29,4874747,0.6
Alabama,1,"Vascular dementia, unspecified",F01.9,192,4874747,3.9
Alabama,1,Unspecified dementia,F03,1648,4874747,33.8
Alabama,1,"Delirium, unspecified",F05.9,10,4874747,Unreliable
Alabama,1,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,45,4874747,0.9
Alabama,1,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,57,4874747,1.2
Alabama,1,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,66,4874747,1.4
Alabama,1,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,35,4874747,0.7
Alabama,1,"Schizophrenia, unspecified",F20.9,10,4874747,Unreliable
Alabama,1,Huntington disease,G10,19,4874747,Unreliable
Alabama,1,Motor neuron disease,G12.2,97,4874747,2
Alabama,1,Parkinson disease,G20,553,4874747,11.3
Alabama,1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],G23.1,15,4874747,Unreliable
Alabama,1,Alzheimer disease with late onset,G30.1,62,4874747,1.3
Alabama,1,"Alzheimer disease, unspecified",G30.9,2494,4874747,51.2
Alabama,1,Circumscribed brain atrophy,G31.0,18,4874747,Unreliable
Alabama,1,"Senile degeneration of brain, not elsewhere classified",G31.1,309,4874747,6.3
Alabama,1,Other specified degenerative diseases of nervous system,G31.8,59,4874747,1.2
Alabama,1,"Degenerative disease of nervous system, unspecified",G31.9,18,4874747,Unreliable
Alabama,1,Multiple sclerosis,G35,41,4874747,0.8
Alabama,1,"Epilepsy, unspecified",G40.9,15,4874747,Unreliable
Alabama,1,"Status epilepticus, unspecified",G41.9,23,4874747,0.5
Alabama,1,Sleep apnoea,G47.3,17,4874747,Unreliable
Alabama,1,Myasthenia gravis,G70.0,16,4874747,Unreliable
Alabama,1,"Infantile cerebral palsy, unspecified",G80.9,35,4874747,0.7
Alabama,1,"Tetraplegia, unspecified",G82.5,10,4874747,Unreliable
Alabama,1,"Hydrocephalus, unspecified",G91.9,10,4874747,Unreliable
Alabama,1,"Anoxic brain damage, not elsewhere classified",G93.1,220,4874747,4.5
Alabama,1,"Encephalopathy, unspecified",G93.4,94,4874747,1.9
Alabama,1,"Disorder of brain, unspecified",G93.9,10,4874747,Unreliable
Alabama,1,"Mitral valve disease, unspecified",I05.9,15,4874747,Unreliable
Alabama,1,Essential (primary) hypertension,I10,384,4874747,7.9
Alabama,1,Hypertensive heart disease with (congestive) heart failure,I11.0,320,4874747,6.6
Alabama,1,Hypertensive heart disease without (congestive) heart failure,I11.9,372,4874747,7.6
Alabama,1,Hypertensive renal disease with renal failure,I12.0,129,4874747,2.6
Alabama,1,Hypertensive renal disease without renal failure,I12.9,18,4874747,Unreliable
Alabama,1,Hypertensive heart and renal disease with (congestive) heart failure,I13.0,34,4874747,0.7
Alabama,1,Hypertensive heart and renal disease with renal failure,I13.1,29,4874747,0.6
Alabama,1,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,69,4874747,1.4
Alabama,1,"Hypertensive heart and renal disease, unspecified",I13.9,13,4874747,Unreliable
Alabama,1,Acute subendocardial myocardial infarction,I21.4,98,4874747,2
Alabama,1,"Acute myocardial infarction, unspecified",I21.9,1623,4874747,33.3
Alabama,1,"Acute ischaemic heart disease, unspecified",I24.9,23,4874747,0.5
Alabama,1,"Atherosclerotic cardiovascular disease, so described",I25.0,804,4874747,16.5
Alabama,1,Atherosclerotic heart disease,I25.1,1466,4874747,30.1
Alabama,1,Ischaemic cardiomyopathy,I25.5,172,4874747,3.5
Alabama,1,Other forms of chronic ischaemic heart disease,I25.8,12,4874747,Unreliable
Alabama,1,"Chronic ischaemic heart disease, unspecified",I25.9,792,4874747,16.2
Alabama,1,Pulmonary embolism without mention of acute cor pulmonale,I26.9,222,4874747,4.6
Alabama,1,Primary pulmonary hypertension,I27.0,11,4874747,Unreliable
Alabama,1,Other secondary pulmonary hypertension,I27.2,82,4874747,1.7
Alabama,1,"Pulmonary heart disease, unspecified",I27.9,33,4874747,0.7
Alabama,1,Acute and subacute infective endocarditis,I33.0,18,4874747,Unreliable
Alabama,1,Mitral (valve) insufficiency,I34.0,32,4874747,0.7
Alabama,1,Aortic (valve) stenosis,I35.0,124,4874747,2.5
Alabama,1,"Aortic valve disorder, unspecified",I35.9,22,4874747,0.5
Alabama,1,"Endocarditis, valve unspecified",I38,69,4874747,1.4
Alabama,1,Dilated cardiomyopathy,I42.0,32,4874747,0.7
Alabama,1,"Cardiomyopathy, unspecified",I42.9,206,4874747,4.2
Alabama,1,Other specified conduction disorders,I45.8,51,4874747,1
Alabama,1,"Sudden cardiac death, so described",I46.1,264,4874747,5.4
Alabama,1,"Cardiac arrest, unspecified",I46.9,1670,4874747,34.3
Alabama,1,Ventricular tachycardia,I47.2,12,4874747,Unreliable
Alabama,1,Atrial fibrillation and flutter,I48,351,4874747,7.2
Alabama,1,Ventricular fibrillation and flutter,I49.0,38,4874747,0.8
Alabama,1,"Cardiac arrhythmia, unspecified",I49.9,446,4874747,9.1
Alabama,1,Congestive heart failure,I50.0,2028,4874747,41.6
Alabama,1,Left ventricular failure,I50.1,15,4874747,Unreliable
Alabama,1,"Heart failure, unspecified",I50.9,440,4874747,9
Alabama,1,"Cardiovascular disease, unspecified",I51.6,201,4874747,4.1
Alabama,1,Cardiomegaly,I51.7,34,4874747,0.7
Alabama,1,Other ill-defined heart diseases,I51.8,29,4874747,0.6
Alabama,1,"Heart disease, unspecified",I51.9,702,4874747,14.4
Alabama,1,"Subarachnoid haemorrhage, unspecified",I60.9,74,4874747,1.5
Alabama,1,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,18,4874747,Unreliable
Alabama,1,Intracerebral haemorrhage in brain stem,I61.3,20,4874747,0.4
Alabama,1,"Intracerebral haemorrhage, intraventricular",I61.5,10,4874747,Unreliable
Alabama,1,"Intracerebral haemorrhage, unspecified",I61.9,225,4874747,4.6
Alabama,1,Subdural haemorrhage (acute)(nontraumatic),I62.0,96,4874747,2
Alabama,1,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,142,4874747,2.9
Alabama,1,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,14,4874747,Unreliable
Alabama,1,Cerebral infarction due to embolism of cerebral arteries,I63.4,32,4874747,0.7
Alabama,1,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,17,4874747,Unreliable
Alabama,1,Other cerebral infarction,I63.8,32,4874747,0.7
Alabama,1,"Cerebral infarction, unspecified",I63.9,363,4874747,7.4
Alabama,1,"Stroke, not specified as haemorrhage or infarction",I64,1101,4874747,22.6
Alabama,1,"Cerebral aneurysm, nonruptured",I67.1,27,4874747,0.6
Alabama,1,Cerebral atherosclerosis,I67.2,224,4874747,4.6
Alabama,1,Other specified cerebrovascular diseases,I67.8,88,4874747,1.8
Alabama,1,"Cerebrovascular disease, unspecified",I67.9,220,4874747,4.5
Alabama,1,Sequelae of cerebral infarction,I69.3,43,4874747,0.9
Alabama,1,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,92,4874747,1.9
Alabama,1,Sequelae of other and unspecified cerebrovascular diseases,I69.8,49,4874747,1
Alabama,1,Generalized and unspecified atherosclerosis,I70.9,114,4874747,2.3
Alabama,1,Dissection of aorta [any part],I71.0,52,4874747,1.1
Alabama,1,"Thoracic aortic aneurysm, ruptured",I71.1,12,4874747,Unreliable
Alabama,1,"Thoracic aortic aneurysm, without mention of rupture",I71.2,10,4874747,Unreliable
Alabama,1,"Abdominal aortic aneurysm, ruptured",I71.3,37,4874747,0.8
Alabama,1,"Abdominal aortic aneurysm, without mention of rupture",I71.4,13,4874747,Unreliable
Alabama,1,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,14,4874747,Unreliable
Alabama,1,Aneurysm of unspecified site,I72.9,10,4874747,Unreliable
Alabama,1,"Peripheral vascular disease, unspecified",I73.9,92,4874747,1.9
Alabama,1,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,33,4874747,0.7
Alabama,1,"Hypotension, unspecified",I95.9,14,4874747,Unreliable
Alabama,1,Other and unspecified disorders of circulatory system,I99,79,4874747,1.6
Alabama,1,"Influenza with pneumonia, influenza virus identified",J10.0,15,4874747,Unreliable
Alabama,1,"Influenza with other respiratory manifestations, influenza virus identified",J10.1,12,4874747,Unreliable
Alabama,1,"Influenza with pneumonia, virus not identified",J11.0,18,4874747,Unreliable
Alabama,1,"Influenza with other respiratory manifestations, virus not identified",J11.1,17,4874747,Unreliable
Alabama,1,Pneumonia due to Streptococcus pneumoniae,J13,55,4874747,1.1
Alabama,1,Pneumonia due to staphylococcus,J15.2,18,4874747,Unreliable
Alabama,1,"Bacterial pneumonia, unspecified",J15.9,46,4874747,0.9
Alabama,1,"Pneumonia, unspecified",J18.9,963,4874747,19.8
Alabama,1,"Bronchitis, not specified as acute or chronic",J40,15,4874747,Unreliable
Alabama,1,"Emphysema, unspecified",J43.9,73,4874747,1.5
Alabama,1,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,305,4874747,6.3
Alabama,1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,123,4874747,2.5
Alabama,1,Other specified chronic obstructive pulmonary disease,J44.8,18,4874747,Unreliable
Alabama,1,"Chronic obstructive pulmonary disease, unspecified",J44.9,2866,4874747,58.8
Alabama,1,"Asthma, unspecified",J45.9,67,4874747,1.4
Alabama,1,Pneumoconiosis due to asbestos and other mineral fibres,J61,14,4874747,Unreliable
Alabama,1,Pneumonitis due to food and vomit,J69.0,335,4874747,6.9
Alabama,1,Adult respiratory distress syndrome,J80,62,4874747,1.3
Alabama,1,Pulmonary oedema,J81,43,4874747,0.9
Alabama,1,Other interstitial pulmonary diseases with fibrosis,J84.1,230,4874747,4.7
Alabama,1,"Interstitial pulmonary disease, unspecified",J84.9,86,4874747,1.8
Alabama,1,"Pleural effusion, not elsewhere classified",J90,17,4874747,Unreliable
Alabama,1,"Pneumothorax, unspecified",J93.9,16,4874747,Unreliable
Alabama,1,Acute respiratory failure,J96.0,97,4874747,2
Alabama,1,Chronic respiratory failure,J96.1,90,4874747,1.8
Alabama,1,"Respiratory failure, unspecified",J96.9,194,4874747,4
Alabama,1,Other disorders of lung,J98.4,40,4874747,0.8
Alabama,1,Other specified respiratory disorders,J98.8,39,4874747,0.8
Alabama,1,"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,10,4874747,Unreliable
Alabama,1,"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,11,4874747,Unreliable
Alabama,1,Acute vascular disorders of intestine,K55.0,23,4874747,0.5
Alabama,1,"Vascular disorder of intestine, unspecified",K55.9,80,4874747,1.6
Alabama,1,Other and unspecified intestinal obstruction,K56.6,96,4874747,2
Alabama,1,"Ileus, unspecified",K56.7,11,4874747,Unreliable
Alabama,1,"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,15,4874747,Unreliable
Alabama,1,Perforation of intestine (nontraumatic),K63.1,41,4874747,0.8
Alabama,1,Acute peritonitis,K65.0,18,4874747,Unreliable
Alabama,1,"Peritonitis, unspecified",K65.9,14,4874747,Unreliable
Alabama,1,Alcoholic hepatitis,K70.1,25,4874747,0.5
Alabama,1,Alcoholic cirrhosis of liver,K70.3,179,4874747,3.7
Alabama,1,Alcoholic hepatic failure,K70.4,10,4874747,Unreliable
Alabama,1,"Alcoholic liver disease, unspecified",K70.9,28,4874747,0.6
Alabama,1,Acute and subacute hepatic failure,K72.0,12,4874747,Unreliable
Alabama,1,"Hepatic failure, unspecified",K72.9,115,4874747,2.4
Alabama,1,Other and unspecified cirrhosis of liver,K74.6,498,4874747,10.2
Alabama,1,"Fatty (change of) liver, not elsewhere classified",K76.0,36,4874747,0.7
Alabama,1,"Liver disease, unspecified",K76.9,67,4874747,1.4
Alabama,1,Calculus of gallbladder without cholecystitis,K80.2,12,4874747,Unreliable
Alabama,1,Acute cholecystitis,K81.0,26,4874747,0.5
Alabama,1,"Cholecystitis, unspecified",K81.9,18,4874747,Unreliable
Alabama,1,Cholangitis,K83.0,12,4874747,Unreliable
Alabama,1,"Acute pancreatitis, unspecified",K85.9,64,4874747,1.3
Alabama,1,"Disease of pancreas, unspecified",K86.9,12,4874747,Unreliable
Alabama,1,"Gastrointestinal haemorrhage, unspecified",K92.2,158,4874747,3.2
Alabama,1,Cellulitis of other parts of limb,L03.1,11,4874747,Unreliable
Alabama,1,"Cellulitis, unspecified",L03.9,25,4874747,0.5
Alabama,1,"Decubitus ulcer and pressure area, unspecified",L89.9,21,4874747,0.4
Alabama,1,"Rheumatoid arthritis, unspecified",M06.9,29,4874747,0.6
Alabama,1,Systemic lupus erythematosus with organ or system involvement,M32.1,28,4874747,0.6
Alabama,1,Other specified disorders of muscle,M62.8,10,4874747,Unreliable
Alabama,1,"Osteomyelitis, unspecified",M86.9,26,4874747,0.5
Alabama,1,"Tubulo-interstitial nephritis, not specified as acute or chronic",N12,18,4874747,Unreliable
Alabama,1,"Acute renal failure, unspecified",N17.9,155,4874747,3.2
Alabama,1,"Chronic kidney disease, stage 4",N18.4,13,4874747,Unreliable
Alabama,1,"Chronic kidney disease, stage 5",N18.5,409,4874747,8.4
Alabama,1,"Chronic renal failure, unspecified",N18.9,146,4874747,3
Alabama,1,Unspecified renal failure,N19,237,4874747,4.9
Alabama,1,Other specified disorders of kidney and ureter,N28.8,94,4874747,1.9
Alabama,1,"Disorder of kidney and ureter, unspecified",N28.9,133,4874747,2.7
Alabama,1,"Urinary tract infection, site not specified",N39.0,236,4874747,4.8
Alabama,1,Other specified pregnancy-related conditions,O26.8,13,4874747,Unreliable
Alabama,1,Newborn affected by premature rupture of membranes,P01.1,10,4874747,Unreliable
Alabama,1,Extreme immaturity,P07.2,51,4874747,1
Alabama,1,Respiratory distress syndrome of newborn,P22.0,11,4874747,Unreliable
Alabama,1,"Bacterial sepsis of newborn, unspecified",P36.9,10,4874747,Unreliable
Alabama,1,Anencephaly,Q00.0,10,4874747,Unreliable
Alabama,1,"Congenital malformation of heart, unspecified",Q24.9,15,4874747,Unreliable
Alabama,1,"Down syndrome, unspecified",Q90.9,14,4874747,Unreliable
Alabama,1,"Bradycardia, unspecified",R00.1,10,4874747,Unreliable
Alabama,1,Asphyxia,R09.0,14,4874747,Unreliable
Alabama,1,Respiratory arrest,R09.2,104,4874747,2.1
Alabama,1,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,R29.8,17,4874747,Unreliable
Alabama,1,Malaise and fatigue,R53,22,4874747,0.5
Alabama,1,Senility,R54,25,4874747,0.5
Alabama,1,Other and unspecified convulsions,R56.8,44,4874747,0.9
Alabama,1,Cardiogenic shock,R57.0,22,4874747,0.5
Alabama,1,"Shock, unspecified",R57.9,12,4874747,Unreliable
Alabama,1,"Haemorrhage, not elsewhere classified",R58,23,4874747,0.5
Alabama,1,Other lack of expected normal physiological development,R62.8,115,4874747,2.4
Alabama,1,Other specified general symptoms and signs,R68.8,81,4874747,1.7
Alabama,1,Abnormal findings on diagnostic imaging of lung,R91,12,4874747,Unreliable
Alabama,1,Sudden infant death syndrome - SIDS,R95,39,4874747,0.8
Alabama,1,Instantaneous death,R96.0,20,4874747,0.4
Alabama,1,Other ill-defined and unspecified causes of mortality,R99,485,4874747,9.9
Alabama,1,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,31,4874747,0.6
Alabama,1,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,100,4874747,2.1
Alabama,1,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,10,4874747,Unreliable
Alabama,1,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,12,4874747,Unreliable
Alabama,1,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,28,4874747,0.6
Alabama,1,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,22,4874747,0.5
Alabama,1,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,23,4874747,0.5
Alabama,1,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,13,4874747,Unreliable
Alabama,1,Car occupant [any] injured in unspecified traffic accident,V49.9,45,4874747,0.9
Alabama,1,Person injured in collision between other specified motor vehicles (traffic),V87.7,159,4874747,3.3
Alabama,1,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,447,4874747,9.2
Alabama,1,Fall on and from stairs and steps,W10,16,4874747,Unreliable
Alabama,1,"Fall from, out of or through building or structure",W13,12,4874747,Unreliable
Alabama,1,Other fall on same level,W18,53,4874747,1.1
Alabama,1,Unspecified fall,W19,130,4874747,2.7
Alabama,1,"Struck by thrown, projected or falling object",W20,14,4874747,Unreliable
Alabama,1,Contact with other and unspecified machinery,W31,10,4874747,Unreliable
Alabama,1,Discharge from other and unspecified firearms,W34,16,4874747,Unreliable
Alabama,1,Drowning and submersion while in bath-tub,W65,13,4874747,Unreliable
Alabama,1,Drowning and submersion while in natural water,W69,27,4874747,0.6
Alabama,1,Unspecified drowning and submersion,W74,16,4874747,Unreliable
Alabama,1,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,22,4874747,0.5
Alabama,1,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,84,4874747,1.7
Alabama,1,Exposure to uncontrolled fire in building or structure,X00,56,4874747,1.1
Alabama,1,Exposure to excessive natural heat,X30,10,4874747,Unreliable
